"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"ago/22";"jul/22";"jun/22";"mai/22";"abr/22";"mar/22";"fev/22";"jan/22";"dez/21";"nov/21";"out/21";"set/21";"Competência";"Data de atualização"
"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP (413283)";"Odontológica";"Médio";"7";"9";"   0,25";"   0,13";"0,00";"0,00";"    0,13";"   0,13";"   0,14";"   0,14";"   0,14";"   0,14";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA (423262)";"Odontológica";"Pequeno";"4";"";"0,00";"";"";"";"";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"ÁPICE ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA (400882)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ARM ODONTOLOGIA LTDA. (352152)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,07";"   1,06";"   1,05";"202208";"13/09/2022 15:15:14"
"ASSISTÊNCIA ODONTOLÓGICA ESPECIALIZADA LTDA (365297)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,78";"   1,76";"   1,73";"202208";"13/09/2022 15:15:14"
"ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA (417220)";"Odontológica";"Médio";"6";"11";"   0,29";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ATEMDE ODONTO SAÚDE CLUBE DE BENEFÍCIOS (336874)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"BEM MAIS ODONTO OPERADORA ODONTOLÓGICA LTDA. (417874)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"202208";"13/09/2022 15:15:14"
"BIORAL SISTEMA ODONTOLÓGICO LTDA. (419079)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"   0,16";"    0,16";"   0,16";"0,00";"   0,16";"   0,16";"   0,16";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (421561)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A. (419419)";"Odontológica";"Grande";"1";"2";"   0,46";"   0,50";"   0,40";"   0,26";"    0,26";"   0,33";"   0,44";"   0,48";"   0,40";"   0,34";"   0,29";"   0,46";"202208";"13/09/2022 15:15:14"
"CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP (415952)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CENTRO ODONTOLOGICO INTEGRADO EIRELI (314757)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CEORP - CENTRO ODONTOLOGICO LTDA (401871)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CLINICA ODONTOLOGICA ODONTOPLAN LTDA (410071)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA (405931)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL (353477)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA (418242)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ (419028)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE (359459)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU (400572)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA NOVODENTE LTDA (417840)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"   1,56";"    1,56";"   1,54";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ (365785)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA. (353892)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO (407241)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA (368181)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CROWN ODONTOLOGIA DE GRUPO  LTDA (397245)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"CRZ PLANO ODONTOLÓGICO LTDA (421952)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DELFHI PLANOS ODONTOLÓGICOS LTDA (421081)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,65";"   1,63";"   1,60";"   1,58";"   1,59";"   1,63";"202208";"13/09/2022 15:15:14"
"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA (420239)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTAL CENTER LTDA (339458)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,20";"   0,20";"   0,40";"   0,20";"   0,41";"   0,20";"202208";"13/09/2022 15:15:14"
"DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA. (300730)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"   0,24";"    0,24";"   0,24";"0,00";"0,00";"0,00";"   0,24";"   0,24";"   0,24";"202208";"13/09/2022 15:15:14"
"DENTAL MASTER LTDA - EPP (413747)";"Odontológica";"Médio";"3";"5";"   0,47";"   0,46";"   1,39";"   0,93";"    0,93";"   0,47";"   0,94";"   1,41";"   0,95";"   0,48";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA. (314366)";"Odontológica";"Médio";"12";"1";"0,00";"   0,80";"   0,81";"   1,02";"    0,20";"   0,20";"0,00";"0,00";"   0,20";"   0,20";"   0,20";"0,00";"202208";"13/09/2022 15:15:14"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"6";"6";"   0,23";"   0,24";"   0,34";"   0,44";"    0,49";"   0,44";"   0,43";"   0,52";"   0,72";"   0,77";"   0,89";"   0,82";"202208";"13/09/2022 15:15:14"
"DENTAL WHITE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA (423050)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"";"";"";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA (401463)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTALMASTER LTDA (422975)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA (333620)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA. (322890)";"Odontológica";"Médio";"1";"3";"   0,52";"   0,54";"   0,55";"   0,29";"    0,58";"   0,88";"   0,86";"   0,84";"   0,83";"   0,81";"   0,80";"   0,77";"202208";"13/09/2022 15:15:14"
"DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA (416908)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTALSHOW ASSISTÊNCIA ODONTOLÓGICA LTDA. (361038)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,40";"202208";"13/09/2022 15:15:14"
"DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA (327867)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"DENTSY ODONTOLOGIA S/S LTDA. (414425)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"E F SOBRINHO EIRELI - ME (420778)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA (415626)";"Odontológica";"Grande";"14";"14";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,10";"   0,10";"   0,10";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"FEDERAÇÃO DAS UNIODONTOS DO ESTADO DE MINAS GERAIS (344583)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"FR PLANO ODONTOLÓGICO LTDA (419818)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (414921)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,54";"   1,57";"   1,58";"0,00";"202208";"13/09/2022 15:15:14"
"IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME (414557)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA. (414981)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"INSTITUTO DE PREVIDÊNCIA E ASSISTÊNCIA ODONTOLÓGICA LTDA (389358)";"Odontológica";"Grande";"14";"11";"0,00";"   0,07";"   0,21";"   0,21";"    0,14";"   0,04";"   0,04";"   0,18";"   0,18";"   0,21";"   0,07";"   0,04";"202208";"13/09/2022 15:15:14"
"INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA. (359394)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"INTERDENTAL ODONTOLOGIA INTEGRADA LTDA. (312525)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"J.E. ODONTOQUALITY S/S LTDA (418536)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"JTC ODONTOLOGIA LTDA. (418722)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"LIODONTO PLANOS DE ASSISTENCIA E SERVICOS ODONTOLOGICOS EIRELI (422851)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MACIEL & MACIEL ASSISTÊNCIA ODONTOLÓGICA LTDA (416835)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MAIS DENTAL PLANOS ODONTOLOGICOS LTDA (349291)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MAIS SAÚDE PLANOS MÉDICOS E ODONTOLÓGICOS LTDA  (420051)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MATTOS ODONTOLOGIA LTDA (329967)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"MED LIFE OPERADORA ODONTOLÓGICA LTDA (421880)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"202208";"13/09/2022 15:15:14"
"METLIFE PLANOS ODONTOLÓGICOS LTDA. (406481)";"Odontológica";"Grande";"8";"7";"   0,16";"   0,16";"   0,12";"   0,16";"    0,17";"   0,20";"   0,17";"   0,24";"   0,25";"   0,36";"   0,30";"   0,33";"202208";"13/09/2022 15:15:14"
"MULTI - BUCAL ODONTOLOGIA LTDA - EPP (351351)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"NACIONAL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (304441)";"Odontológica";"Grande";"13";"14";"   0,05";"0,00";"0,00";"   0,05";"    0,05";"   0,10";"   0,10";"   0,10";"   0,10";"   0,05";"   0,05";"0,00";"202208";"13/09/2022 15:15:14"
"NEWKLIN ODONTOCLÍNICA LTDA. ME. (415057)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"NOVA ODONTO LTDA. (422665)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"NUCLEO ASSISTENCIA ODONTOLOGICA LTDA (359866)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTO ALEGRE CLINICAS E PLANOS ODONTOLOGICOS LTDA (421464)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA. (310981)";"Odontológica";"Grande";"3";"1";"   0,32";"   0,52";"   0,54";"   0,59";"    0,49";"   0,45";"   0,36";"   0,30";"   0,37";"   0,25";"   0,35";"   0,42";"202208";"13/09/2022 15:15:14"
"ODONTO JARAGUÁ LTDA (312321)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTO LIFE ASSISTÊNCIA ODONTOLÓGICA S/A. (406414)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"";"";"202208";"13/09/2022 15:15:14"
"ODONTO MAIS SAUDE EMPREENDIMENTOS LTDA. (422622)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"202208";"13/09/2022 15:15:14"
"ODONTO PLUS CONVENIO ODONTOLOGICO SOCIEDADE SIMPLES LTDA (405671)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTO PRIME PLANOS ODONTOLÓGICOS LTDA ME (420212)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTO PRIME S/S LTDA (418994)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   1,12";"   1,13";"   1,14";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS LTDA. (419281)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,15";"   0,16";"   0,17";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOART PLANOS ODONTOLÓGICOS LTDA (414387)";"Odontológica";"Grande";"11";"10";"   0,07";"   0,07";"0,00";"0,00";"0,00";"0,00";"   0,15";"   0,30";"   0,38";"   0,30";"   0,31";"   0,31";"202208";"13/09/2022 15:15:14"
"ODONTOBASE PLANOS DE SAUDE LTDA. (344486)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOCEL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA - ME (421596)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOCLINICA RCC LTDA. S/S (418111)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOCOOP - OPERADORA DE PLANOS DE SAÚDE LTDA (422924)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"";"";"";"202208";"13/09/2022 15:15:14"
"ODONTOGROUP SISTEMA DE SAÚDE LTDA. (389854)";"Odontológica";"Médio";"10";"7";"   0,11";"   0,22";"   0,33";"   0,45";"    0,45";"   0,55";"   0,89";"   0,89";"   1,00";"   0,44";"   0,33";"   0,11";"202208";"13/09/2022 15:15:14"
"ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA. (417831)";"Odontológica";"Médio";"12";"11";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,36";"   0,37";"   0,38";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOMAIS SERVIÇOS ODONTOLÓGICOS LTDA - ME (419184)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOMAXI OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (419583)";"Odontológica";"Pequeno";"4";"3";"0,00";"   0,92";"   0,94";"   0,94";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONT-OPERADORA ODONTOLOGICA LTDA (422088)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOPREV S/A (301949)";"Odontológica";"Grande";"4";"4";"   0,31";"   0,39";"   0,42";"   0,46";"    0,42";"   0,46";"   0,54";"   0,66";"   0,69";"   0,66";"   0,62";"   0,65";"202208";"13/09/2022 15:15:14"
"ODONTOREAL LTDA. (412040)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ODONTOVIDA LTDA ME (418200)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"OPERADORA DE PLANOS ODONTOLÓGICOS ODONTOCLÍNICA LTDA (420743)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"   0,69";"   0,68";"   0,69";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"OPERADORA DE PLANOS ODONTOLOGICOS ULTRAODONTO LTDA (422673)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ORAL GAM ASSISTENCIA ODONTOLÓGICA LTDA (418447)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ORAL SAÚDE CLÍNICA ODONTOLÓGICA LTDA. (311693)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
"ORAL SAÚDE DE IBITINGA SERVIÇOS ODONTOLÓGICOS S/S LTDA (366510)";"Odontológica";"Pequeno";"4";"5";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"202208";"13/09/2022 15:15:14"
